title,genre,premiere,runtime,imdb_score,language,year
Enter the Anime,Documentary,8/5/2019,58,2.5,English/Japanese,2019
Dark Forces,Thriller,8/21/2020,81,2.6,Spanish,2020
The App,Science fiction/Drama,12/26/2019,79,2.6,Italian,2019
The Open House,Horror thriller,1/19/2018,94,3.2,English,2018
Kaali Khuhi,Mystery,10/30/2020,90,3.4,Hindi,2020
Drive,Action,11/1/2019,147,3.5,Hindi,2019
Leyla Everlasting,Comedy,12/4/2020,112,3.7,Turkish,2020
The Last Days of American Crime,Heist film/Thriller,6/5/2020,149,3.7,English,2020
Paradox,Musical/Western/Fantasy,3/23/2018,73,3.9,English,2018
Sardar Ka Grandson,Comedy,5/18/2021,139,4.1,Hindi,2021
Searching for Sheela,Documentary,4/22/2021,58,4.1,English,2021
The Call,Drama,11/27/2020,112,4.1,Korean,2020
Whipped,Romantic comedy,9/18/2020,97,4.1,Indonesian,2020
All Because of You,Action comedy,10/1/2020,101,4.2,Malay,2020
Mercy,Thriller,11/22/2016,90,4.2,English,2016
After the Raid,Documentary,12/19/2019,25,4.3,Spanish,2019
The Last Thing He Wanted,Political thriller,2/21/2020,115,4.3,English,2020
What Happened to Mr. Cha?,Comedy,1/1/2021,102,4.3,Korean,2021
Death Note,Horror thriller,8/25/2017,100,4.4,English,2017
"Hello Privilege. It's Me, Chelsea",Documentary,9/13/2019,64,4.4,English,2019
Secret Obsession,Thriller,7/18/2019,97,4.4,English,2019
Sextuplets,Comedy,8/16/2019,99,4.4,English,2019
The Girl on the Train,Thriller,2/26/2021,120,4.4,Hindi,2021
Thunder Force,Superhero-Comedy,4/9/2021,105,4.4,English,2021
Fatal Affair,Thriller,7/16/2020,89,4.5,English,2020
Just Say Yes,Romantic comedy,4/2/2021,97,4.5,Dutch,2021
Seriously Single,Comedy,7/31/2020,107,4.5,English,2020
The Misadventures of Hedi and Cokeman,Comedy,2/10/2021,99,4.5,French,2021
5 Star Christmas,Comedy,12/7/2018,95,4.6,Italian,2018
After Maria,Documentary,5/24/2019,37,4.6,English/Spanish,2019
I Am the Pretty Thing That Lives in the House,Horror,10/28/2016,89,4.6,English,2016
Paris Is Us,Romance drama,2/22/2019,83,4.6,French,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,12/3/2019,46,4.6,Portuguese,2019
Rattlesnake,Horror,10/25/2019,85,4.6,English,2019
The Players,Comedy,7/15/2020,88,4.6,Italian,2020
We Are One,Documentary,7/14/2020,86,4.6,French,2020
Finding Agnes,Drama,11/30/2020,105,4.7,Filipino,2020
IO,Science fiction/Drama,1/18/2019,95,4.7,English,2019
Sentinelle,Action,3/5/2021,80,4.7,French,2021
Sol Levante,Anime / Short,4/2/2020,4,4.7,English,2020
The Binding,Drama,10/2/2020,93,4.7,Italian,2020
We Can Be Heroes,Superhero,12/25/2020,100,4.7,English,2020
Christmas Crossfire,Thriller,12/4/2020,106,4.8,German,2020
Coin Heist,Heist,1/6/2017,97,4.8,English,2017
Mrs. Serial Killer,Thriller,5/1/2020,106,4.8,Hindi,2020
Nobody Sleeps in the Woods Tonight,Horror,10/28/2020,103,4.8,Polish,2020
Take the 10,Comedy,1/20/2017,80,4.8,English,2017
The Main Event,Comedy,4/10/2020,101,4.8,English,2020
The Ridiculous 6,Western,12/11/2015,119,4.8,English,2015
Earth and Blood,Action,4/17/2020,80,4.9,French,2020
Fearless,Animation/Superhero,8/14/2020,89,4.9,English,2020
Holiday Rush,Family film,11/28/2019,94,4.9,English,2019
The Day of the Lord,Drama,10/30/2020,93,4.9,Spanish,2020
Airplane Mode,Comedy,1/23/2020,96,5,Portuguese,2020
How It Ends,Action-thriller,7/13/2018,113,5,English,2018
Love Like the Falling Rain,Drama,10/15/2020,86,5,Indonesian,2020
Rebirth,Thriller,7/15/2016,100,5,English,2016
Squared Love,Romantic comedy,2/11/2021,102,5,Polish,2021
Cadaver,Horror,10/22/2020,86,5.1,Norwegian,2020
Clinical,Thriller,1/13/2017,104,5.1,English,2017
Coffee & Kareem,Action comedy,4/3/2020,88,5.1,English,2020
Dude,Teen comedy-drama,4/20/2018,97,5.1,English,2018
Geez & Ann,Romantic drama,2/25/2021,105,5.1,Indonesian,2021
The Larva Island Movie,Animation,7/23/2020,90,5.1,English,2020
#REALITYHIGH,Comedy,9/8/2017,99,5.2,English,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,8/21/2019,10,5.2,English,2019
Desperados,Romantic comedy,7/3/2020,106,5.2,English,2020
Dolly Parton's Christmas on the Square,Christmas musical,11/22/2020,98,5.2,English,2020
Father of the Year,Comedy,7/20/2018,94,5.2,English,2018
Firebrand,Drama,2/22/2019,112,5.2,Marathi,2019
Ghost Lab,Horror,5/26/2021,117,5.2,Thai,2021
Girlfriend's Day,Comedy,2/14/2017,70,5.2,English,2017
Handsome: A Netflix Mystery Movie,Comedy,5/5/2017,81,5.2,English,2017
Hubie Halloween,Comedy,10/7/2020,103,5.2,English,2020
Ibiza,Comedy,5/25/2018,94,5.2,English,2018
Rim of the World,Science fiction adventure,5/24/2019,98,5.2,English,2019
Sandy Wexler,Comedy,4/14/2017,131,5.2,English,2017
See You Yesterday,Science fiction,5/17/2019,87,5.2,English,2019
Still Laugh-In: The Stars Celebrate,Variety show,5/14/2019,60,5.2,English,2019
"Strip Down, Rise Up",Documentary,2/5/2021,112,5.2,English,2021
Tall Girl,Comedy-drama,9/13/2019,102,5.2,English,2019
The Beast,Drama,11/27/2020,99,5.2,Italian,2020
The Week Of,Comedy,4/27/2018,116,5.2,English,2018
A Christmas Prince: The Royal Wedding,Romantic comedy,11/30/2018,92,5.3,English,2018
Back to School,Comedy,8/30/2019,83,5.3,French,2019
Dangerous Lies,Thriller,4/30/2020,97,5.3,English,2020
Gunjan Saxena: The Kargil Girl,Drama,8/12/2020,112,5.3,Hindi,2020
Intuition,Thriller,5/28/2020,116,5.3,Spanish,2020
The Most Assassinated Woman in the World,Thriller,9/7/2018,102,5.3,French,2018
Things Heard & Seen,Horror,4/29/2021,121,5.3,English,2021
"To Each, Her Own",Romantic comedy,6/24/2018,95,5.3,French,2018
Who Would You Take to a Deserted Island?,Drama,4/12/2019,93,5.3,Spanish,2019
XOXO,Drama,8/26/2016,92,5.3,English,2016
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,10/15/2020,98,5.4,English,2020
A Christmas Prince: The Royal Baby,Romantic comedy,12/5/2019,85,5.4,English,2019
Despite Everything,Comedy,5/3/2019,78,5.4,Spanish,2019
Dolly Kitty and Those Twinkling Stars,Drama,9/18/2020,120,5.4,Hindi,2020
Freaks: You're One of Us,Supernatural drama,9/2/2020,92,5.4,German,2020
"Game Over, Man!",Action/Comedy,3/23/2018,101,5.4,English,2018
Guilty,Thriller,3/6/2020,119,5.4,Hindi,2020
In the Tall Grass,Horror,10/4/2019,101,5.4,English,2019
Madame Claude,Drama,4/2/2021,112,5.4,French,2021
Naked,Comedy,8/11/2017,96,5.4,English,2017
Outside the Wire,Action/Science fiction,1/15/2021,114,5.4,English,2021
The Princess Switch: Switched Again,Romantic comedy,11/19/2020,97,5.4,English,2020
Under the Riccione Sun,Romantic teenage drama,7/1/2020,101,5.4,Italian,2020
A Very Murray Christmas,Comedy / Musical,12/4/2015,56,5.5,English,2015
Been So Long,Musical,10/26/2018,100,5.5,English,2018
Dead Kids,Thriller,12/1/2019,94,5.5,Filipino,2019
Get the Grift,Comedy,4/28/2021,94,5.5,Portuguese,2021
Ghosts of Sugar Land,Documentary,10/16/2019,21,5.5,English,2019
House Arrest,Comedy,11/15/2019,104,5.5,Hindi,2019
Kevin Hart's Guide to Black History,Variety show,2/8/2019,63,5.5,English,2019
Love Wedding Repeat,Romantic comedy,4/10/2020,100,5.5,English,2020
Mute,Science fiction/Mystery,2/23/2018,126,5.5,English,2018
Ã’lÃ²t?rÃ©,Crime drama,10/2/2020,106,5.5,English,2020
Red Dot,Thriller,2/11/2021,86,5.5,Swedish,2021
Ride or Die,Psychological thriller drama,4/15/2021,142,5.5,Japanese,2021
Step Sisters,Comedy,1/19/2018,108,5.5,English,2018
The Cloverfield Paradox,Science fiction,2/4/2018,102,5.5,English,2018
The Knight Before Christmas,Romantic comedy,11/21/2019,92,5.5,English,2019
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,7/6/2018,83,5.5,English,2018
The Package,Black comedy,8/10/2018,94,5.5,English,2018
Unicorn Store,Comedy,4/5/2019,92,5.5,English,2019
